time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
1.3200000000000007,-0.0182268716185,0.0399309659585,11.6663916205,6.28179916033,6.26630954515,0.0,-0.0052515008446,0.0713702161233,2.60167830309,-0.0187818067263,-0.0740280966532,0.0,489.8115352201603,489.3798906978726,488.28648025567963,490.3112561584727
1.3800000000000008,-0.018088907965,0.0441725236198,11.8304509144,6.28098595015,6.26206237605,0.0,0.010387128989,0.0698955242758,2.86633063876,-0.00474019335467,-0.0649867000975,0.0,492.1457725755662,492.81117662715667,491.9333330322756,492.9720808608531
1.4400000000000008,-0.0169546137114,0.0483132565066,12.0081665425,6.28057913839,6.2578425586,0.0,0.0278768741582,0.0680905737947,3.05702332174,-0.0112090752838,-0.0840339387857,0.0,473.1730122391489,471.7007971748791,472.55166159857254,472.05285539666016
1.5000000000000009,-0.0146528333384,0.0523329558542,12.1978789321,6.2796877445,6.25293510726,0.0,0.0494211583361,0.0658101139587,3.26613360788,-0.023387105394,-0.0776472923142,0.0,478.87770676698096,479.35836780811576,478.92985382282194,478.00281787563847
1.560000000000001,-0.0110653501352,0.0562082623464,12.396204134,6.27963395255,6.24879026002,0.0,0.0705855169139,0.063314775464,3.34446572039,0.0247638509571,-0.0558976121326,0.0,439.32360962763767,441.11949589356374,438.37758481095557,442.36066735330087
1.620000000000001,-0.00606662715829,0.0599355506773,12.6010299853,6.28122940669,6.24587304077,0.0,0.0963585289166,0.061095797062,3.48263869531,0.0300147455005,-0.0370350659101,0.0,458.7092863591326,460.2033164270384,459.09075204505245,459.50733685189357
1.680000000000001,0.000256772959933,0.0635777756787,12.8066876215,6.28288583356,6.24352963001,0.0,0.114595857911,0.0604344371686,3.37293809719,0.0222962165389,-0.0434412659433,0.0,377.5374309332989,376.9177022929757,378.34566099364935,377.6020734812331
1.740000000000001,0.00785674260787,0.0672030280086,13.0094458729,0.00132730433272,6.24119791688,0.0,0.138953701274,0.0605407208405,3.38562085101,0.0353296029902,-0.0309959961006,0.0,418.73671826030386,419.81712564245646,419.62620302348995,420.75634610495405
1.8000000000000012,0.0170056720187,0.070868310405,13.2140935907,0.00344400338374,6.23956315152,0.0,0.166168569905,0.0618356283941,3.43580910285,0.0351755718544,-0.0206409061754,0.0,431.9431853473069,432.8153900673417,431.9104500620189,431.89803720672313
1.8600000000000012,0.027837786802,0.0746538511573,13.4222292465,0.00573795414168,6.23793603159,0.0,0.195026872576,0.0645624599697,3.5018351664,0.0437345218265,-0.0450273220475,0.0,438.48752081188337,436.45656448346546,437.3233338568999,438.03642595021313
1.9200000000000013,0.0407357242503,0.0786900647745,13.6408179205,0.008204133579,6.23538649631,0.0,0.2352008013,0.0703010245864,3.78354227394,0.0352401263141,-0.0378524427284,0.0,501.33320132616427,501.8534951789994,503.0414797925276,502.4266556136713
1.9800000000000013,0.0558600532857,0.0830894829014,13.8711504266,0.0110976382373,6.23279099804,0.0,0.269173506253,0.0766103379742,3.89381805497,0.0662006158446,-0.0571786944259,0.0,454.9252285405308,453.37390625544685,452.30456036685916,454.7925379742057
2.0400000000000014,0.0730320811269,0.0879229172286,14.1071306347,0.0151684487847,6.22952947049,0.0,0.303542673611,0.0848979758438,3.97189126646,0.0709497274492,-0.0492455262722,0.0,444.08314717486013,444.73146177357563,444.7033938354362,445.09570836788924
2.1000000000000014,0.0922289100867,0.0933065160864,14.345932298,0.0196190152542,6.2266295834,0.0,0.336609578639,0.0949447765144,3.98807882981,0.07995036044,-0.0465638397241,0.0,425.1116663106509,425.33986367154006,425.16509424187143,425.94014023112084
2.1600000000000015,0.113578764908,0.0994177361777,14.5877521909,0.0247745489496,6.22400543864,0.0,0.375303100555,0.109253830384,4.07225193941,0.0957806222874,-0.0386085287787,0.0,447.1598518101965,447.80641464718826,446.6433085890011,447.93853827366905
2.2200000000000015,0.137561524027,0.106607617904,14.8389762426,0.0307690239562,6.22126743228,0.0,0.424368616811,0.131097986025,4.30100063141,0.107090604726,-0.0658710822366,0.0,492.3788944626958,490.3565139862181,490.63493598342495,491.4814750456829
2.2800000000000016,0.164269440738,0.115108916174,15.0992505713,0.03733767376,6.21768187827,0.0,0.466243111141,0.152905821126,4.37447291179,0.113864877351,-0.0497153882855,0.0,445.73380868411715,447.0496848751465,446.555260003291,447.1180436800508
2.3400000000000016,0.193496316781,0.125015095192,15.3630047231,0.0443897973782,6.21511100447,0.0,0.508229497339,0.177942290488,4.41710939613,0.124011950931,-0.0317931782156,0.0,437.54353120243024,439.03210134073777,436.38337646786215,437.2422510607835
2.4000000000000017,0.225183304835,0.136489404262,15.6277924145,0.0518244888539,6.2132269708,0.0,0.548164916059,0.205174549348,4.40912025556,0.123710116926,-0.0306268110364,0.0,421.0757907722125,421.17628590334584,421.8782869730105,421.8670536263656
